STATE/UT,YEAR,CRIME HEAD,Male 16-18 years,Female 16-18 years,Total 16-18 years,Male 18-30 years,Female 18-30 years,Total 18-30 years,Male 30-50 years,Female 30-50 years,Total 30-50 years,Male Above 50 years,Female Above 50 years,Total Above 50 years,Total Male,Total Female,Grand Total
Kerala,2013,DOWRY DEATHS,0,0,0,3,0,3,15,0,15,0,0,0,18,0,18
Kerala,2013,MOLESTATION,0,0,0,12,0,12,6,0,6,0,0,0,18,0,18
Kerala,2013,EVE-TEASING,0,0,0,7,0,7,1,0,1,0,0,0,8,0,8
Kerala,2013,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,4,0,4,16,0,16,2,0,2,22,0,22
Kerala,2013,OTHER IPC CRIMES,0,0,0,28,0,28,38,0,38,16,0,16,82,0,82
Kerala,2013,TOTAL IPC,0,0,0,575,12,587,996,24,1020,677,5,682,2248,41,2289
Lakshadweep,2013,MURDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2013,ATTEMPT TO COMMIT MURDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2013,C.H. NOT AMOUNTING TO MURDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2013,RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2013,KIDNAPPING AND ABDUCTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2013,DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2013,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2013,ROBBERY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2013,BURGLARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2013,THEFTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2013,EXTORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2013,RIOTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2013,ARSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2013,CRIMINAL BREACH OF TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
